bill_id,item_1,item_2,item_3,item_4,item_5,item_6,item_7
1,Dell Optiplex SFF Desktop Computer Windows 10 4GB 160GB,"Dell Desktop ComputerDIntel, Core 2 Duo, 8GB RAM, 1TB HDD, Windows 10, 22"" LCD, Wifi","HP 6200 Pro, Core i7 3.4GHz, Quad Core, 16GB RAM, 500GB HDD","Vintage Microsolutions Pentium, 133MHz, Desktop Tower PC, Windows 95, 5.25"" Floppy","Dell OptiPlex 7060 SFF, 8th Gen Core i5, 8GB DDR4, 240GB SSD, DVD","Custom Gaming PC Computer, FX-6300 3.5GHz, 8GB RAM, 128GB SSD, 1TB HDD, RX 580 4GB","Custom Build HP Desktop, 16GB RAM, 2TB SSD, Windows 10, WiFi"
2,"3D Printed Mat Vortex Illusion – Living Room Rug Carpet for Floors, Doors, Round Mat",New Golden Brown Oriental Rug – 4x6 Oushak Chobi Floral Hand-Knotted Foyer Carpet,"YILONG 5.5'x8' Handknotted Silk Area Rugs – Home Decor, Classic Blue Carpet","Pretty Woman Small Large Long Floor Carpet – Area Rugs, Various Size, Soft Rug",,,
3,Wine Bottle Holder,Cuisinart Stainless Steel Electric Wine Opener CWO-25 – Brand New in the Box,,,,,
4,Real Madrid Inflatable Chair (5G16136),60 Inches Marble Dining Table – Top Inlay Work Lawn Table with Multi-Color Stones,,,,,
5,"CLEARANCE! Fast Dell Desktop Computer PC – Dual Core, Windows 10, 4/8/16GB RAM","HP T520 Thin Client Computer – AMD GX-21ZJC 1.2GHz, 4GB RAM, TESTED",Gaming PC Desktop Computer – 12-Core Gaming Computer,"Desktop PC Tower Affordable GAMING PC – 8GB, AMD Vega RGB",Custom Build Dell Optiplex 9020 MT – i5-4570 3.20GHz Desktop Computer PC,"Dell Optiplex 990 MT Computer – Quad Core i7 3.4GHz, 16GB RAM, 2TB HD, Windows 10 Pro","Dell Core 2 Duo Desktop Computer – Windows XP Pro, 4GB RAM, 500GB"
6,"HP Desktop Computer PC – Core i5, 16GB RAM, 2TB HDD, 256GB SSD, 22"" LCD, Windows 10",CUSTOM BUILT AMD RYZEN THREADRIPPER GAMING COMPUTER – 32GB RAM,"Fast Dell Optiplex Desktop PC – Dual Core 3.4GHz, 8GB RAM, 1TB HDD, Win 10 Pro, WIFI","Dell Optiplex 790 Computer i7 – 3.40GHz Quad Core, 250GB HDD, 4GB RAM, Working","Vintage Microsolutions Pentium – 133MHz Desktop Tower PC, Windows 95, 5.25"" Floppy",,
7,"15""x15"" White Decorative Coffee Table Top – Lapis Lazuli Marquetery Patio Décor",4'x2' Marble Dining Table Top – Pietra Dura Birds Inlay Art Furniture Decors B444,60 Inches Marble Dinning Table – Top Hand Inlaid Garden Table with Gemstones,,,,
8,"Handmade Thick round warm crochet Rug Carpet Mat – 97% acrylic, 3% me, Floor Décor",Rug White Moroccan Beni Ourain Trellis Shag Area Rug – Authentic Handmade Carpet,"Abstract Living Room Carpet – Home Decor, Nordic Style, Bedside Area Rug, Floor Mats","Leopard Printed Rug Skin Mat – Leather Faux Fur, Animals Area Rugs, Home Carpets",Exquisite Durable Foot Cloth Christmas Carpet – Xmas Cushion for Kitchen,,
9,Wild West Wine,Press Wine 15L Fruit Cider Apple Crusher Juice Grape Stainless Maker Grapes New,Wine Rack Holder Iron Art Hanging Racks Glass Stemware Shelf Mounted,"Wine Glass Holder Simple Iron Wire Home Hanging Rack (Three Rows, Rust Proof)",VTG 1970s MCM Brown Steel Tube Wall or Desk Mounted 12-Wine Rack Bottle Holder,,
10,Fatawa Islamiyah (Islamic Verdicts) – 8 Volume Set,Sasinowski M - Legacy Of Ra – Book New,Time Life Books: The Old West Series – Complete 26 Volumes + Master Index,Tumbling by Caela Carter – MN853,How to Win Friends & Influence People,,
