bill_id,item_1,item_2,item_3,item_4,item_5,item_6,item_7
1,Dell Optiplex SFF Desktop Computer Windows 10 4GB 160GB,"DellDesktopComputer Intel Core2Duo8GB1TBHD Windows10PC22""LCDWifi",HP6200ProCorei73.4GHz OuadCore16GB500GB Computer,VintageMicrosolutionsPentium 133mhzDesktop TowerPC Windows955.25Floppy,"DellOptiPlex7060 SFF Computer, 8th Gen Core i5, 8GB DDR4.New 240GBSSD,DVD",CustomGamingPCComputer FX-63003.5GHz8GBRAM 128GBSSD1TBHDDRX580 4GB,Custom Build HP Desktop Computer16GB |2TB |SSD | Windows10Windows7PCWiFi
2,3DPrintedMatVortexllusion Living room Rug Carpet Floors Doors Round Mat,NewGoldenBrownOrientalRug 4X6 OushakChobiFloral Hand-Knotted FoyerCarpet,YILONG 5.5'x8'Handknotted Silk Area RugsHome Decor Classic BlueCarpet 0790,PrettyWomanSmallLargeLong Floor CarpetAreaRugs Various Size Soft Rug,,,
3,Wine Bottle Holder,Cuisinart Stainless Steel Electric Wine Opener -CWO-25-Brand New in theBox,,,,,
4,RealMadridInflatableChair (SG16136),60InchesMarbleDinningTable Top InlayWorkLawn Tablewith Multi ColorStones,,,,,
5,CLEARANCE! Fast Dell Desktop Computer PC DUAL CORE WINDOWS 10 4/8/16GBRAM,HP T520 ThinClientComputer AMDGX-212IC1.2GHz4GBRAM TESTED!!READBELOW!!,gaming pc desktop computer,12-CoreGamingComputer Desktop PC Tower Affordable GAMINGPC8GBAMDVegaRGB,Custom BuildDell Optiplex 9020 MTi5-45703.20GHzDesktop Computer PC,DellOptiplex990MTComputer PCQuadCorei73.4GHz16GB 2TBHDWindows10Pro,DellCore 2 Duo Desktop Computer | Windows XPPro | 4GB|500GB
6,"HP Desktop Computer PC  Core i516GB 2TB HD 256GB SSD 22""LCDWindows10","CUSTOMBUILTAMDRYZEN THREADRIPPERGAMING COMPUTER,32GBRAM,",Fast Dell Optiplex Desktop PC Computer Dual Core 3.4Ghz 8GB1TBWin10 ProWIFI,DellOptiplex790Computeri7 @3.40 Ghz Quad Core 250GB 4GB Working,Vintage Microsolutions Pentium 133mhz Desktop Tower PC Windows 95 5.25Floppy,,
7,"15""x15""WhiteDecorative Coffee Table Top Lapis Lazuli Marguetery Patio Décor",4'x2'Marble Dining Table Top Pietra DuraBirdsInlayArt Furniture Decors B444,60 Inches Marble Dinning Table Top Hand InlaidGarden Table with Gemstones,,,,
8,Handmade Thick round warm crochet Rug Carpet Mat 97% acrylic 3% me Floor Decor,Rug White Moroccan Beni Ourain Trellis Shag Area Rug Authentic Handmade Carpet,Abstract Living Room Carpet Home Decor Nordic Style Bedside Area RugFloor Mats,LeopardPrintedRugSkinMat Leather Faux Fur Animals Area Rugs Home Carpets,1pc Exquisite Durable Foot Cloth Christmas Carpet Xmas Cushionfor Kitchen Networth,,
9,WildWest Wine,PressWine15LFruitCider Apple Crusher Juice Grape StainlessMakerGrapesNew,WineRack Holder IronArt Hanging Racks Glass Cup Stemware Shelf Mounted 2 Color,Rust ProofThreeRows Tool WineGlassHolderSimpleIron Wire Home Hanging Rack,VTG 197Os MCM Brown Steel Tube Wall or Desk Mounted 12-WineRackBottleHolder Networth,,
10,Fatawa Islamiyah(Islamic Verdicts) (8 Volume Set),SasinowskiM-LegacyOfRa BOOKNEW,Time Life Books:TheOldWest Series ~ Complete 26 Volumes +MasterIndexmn853,TumblingbyCaelaCarter,HowtoWinFriends&Influence People,,
